,Requestors,Titles,HITs,Reward,Created
29,dvamnr,Track Objects in a Video,345,$0.44,2019-11-18 14:22:28.324762
30,Job Spotter,Notez les coordonnées du magasin qui arbore un panneau « On embauche » (ATTENTION : ce résultat peut contenir du contenu réservé,307,$0.06,2019-11-15 14:23:09.324767
31,NLUResearch,Explain a Story regular largescale,279,$1.10,2019-10-01 00:00:00
32,Language Research,Provide a URL to an image of machine-printed text in Tigrinya,273,$0.06,2019-11-13 14:23:09.324794
33,Phil Maher,"""Archival Video Reviewer"" Create title, 20 keywords and pick category by watching a very short (5 second) historic video clip.",268,$0.02,2019-11-12 14:23:09.324799
34,Language Research,Provide a URL to an image of machine-printed text in Maldivian,267,$0.06,2019-11-13 14:23:09.324803
35,Language Research,Provide a URL to an image of machine-printed text in Sinhalese,249,$0.06,2019-11-13 14:23:09.324807
36,Knowcomp group,(choice questions) Choose the relationship between two sentences,234,$0.01,2019-11-18 08:23:09.324812
37,Shopping Receipts,Extract Data From Shopping Receipt,233,$0.01,2019-11-18 14:22:09.324817
38,Language Research,Provide a URL to an image of machine-printed text in Cambodian,220,$0.06,2019-11-13 14:23:09.324822
39,Jesse D. Crosson,Congressional press release data collection,208,$1.10,2019-11-08 14:23:09.324827
40,Language Research,Provide a URL to an image of machine-printed text in Uyghur,205,$0.06,2019-10-24 00:00:00
41,Panel,"Extract summary information from 12 shopping receipts (# of Items, Payment Method)",200,$0.05,2019-11-18 14:21:09.324847
42,Michelle,Collect data and images about youtube artists,198,$0.10,2019-11-15 14:23:09.324853
43,John Smith,Find events in a document.,192,$0.40,2019-11-06 14:23:09.324857
44,Tech & Software Ltd.,Has Trump fulfilled this election promise,186,$0.50,2019-11-15 14:23:09.324862
45,Language Research,Provide a URL to an image of machine-printed text in Maldivian,181,$0.06,2019-10-24 00:00:00
46,Knowcomp group,(choice questions) Choose the relationship between two sentences,177,$0.01,2019-11-18 07:23:09.324880
47,Language Research,Provide a URL to an image of machine-printed text in Uyghur,175,$0.06,2019-11-13 14:23:09.324886
48,Language Research,Provide a URL to an image of machine-printed text in Hungarian,161,$0.06,2019-11-13 14:23:09.324890
49,Lang Science,Does this segment contain any Polish speech? (Requires Mozilla Firefox),155,$0.05,2019-11-18 10:23:09.324894
50,Lang Science,Does this segment contain any Maghrebi Arabic speech? (Requires Mozilla Firefox),155,$0.05,2019-11-18 10:23:09.324899
51,Lang Science,Does this segment contain any Levantine Arabic speech? (Requires Mozilla Firefox),154,$0.05,2019-11-18 10:23:09.324904
52,Lang Science,Does this segment contain any Brazilian Portuguese speech? (Requires Mozilla Firefox),149,$0.05,2019-11-18 10:23:09.324909
53,Pinterest,Pinterest - Determine the topical relatedness between pieces of text,143,$0.40,2019-04-04 00:00:00
54,Pinterest,Pinterest - Determine the topical relatedness between pieces of text,142,$0.60,2019-04-05 00:00:00
55,Joni Salminen,Classify Offensive Comments (\*Arabic skills needed\*),139,$0.20,2019-11-13 14:23:09.324940
56,Omnia Zayed,Metaphor Definition Annotation Main Task,138,$1.80,2019-11-08 14:23:09.324945
57,Panel,"Extract summary information from 12 shopping receipts (Payment Method, Total)",127,$0.05,2019-11-18 14:23:02.324950
58,DeepOpinion,Aspect Based Sentiment Annotation ★★★★☆,125,$0.20,2019-11-18 12:23:09.324954
59,str11223344,Tell us what this item is - General Contents - Batch ID #30763,118,$0.07,2019-11-18 13:23:09.324960
60,Language Research,Provide a URL to an image of machine-printed text in Maldivian,120,$0.06,2019-10-11 00:00:00
61,QualLab,Image Quality Comparison,120,$0.01,2019-11-13 14:23:09.324978
62,Research Surveys,Survey 14-11-2019,119,$0.35,2019-11-14 14:23:09.324983
63,CSA_Evanston,Opinions & Attitudes(~ 3 minutes),111,$0.30,2019-11-18 13:23:09.324987
64,Jacqueline Rifkin,TWO-PART Study on Brands (~7-10 minutes across 2 days)(~ 5 minutes),111,$0.10,2019-11-18 10:23:09.324992
65,Shopping Receipts,Extract General Data & Items From Shopping Receipt,111,$0.02,2019-11-17 23:23:09.324997
66,SpeechLab,LieCatcher: How good are you at detecting lies?,100,$0.05,2019-11-18 14:14:09.325001
67,Han,Question and Answer Pairs Generation,99,$0.02,2019-11-17 14:23:09.325007
68,TeamZ,Restaurant Receipt/Invoice with Bonus -- ITEMIZATION,94,$0.08,2019-11-18 14:21:09.325011
69,Nicolas Hardy,Notez les informations contenues sur un ticket de caisse,92,$0.03,2019-11-14 14:23:09.325016
70,SPLab,Society & Attitudes - 15 min survey(~ 15 minutes),91,$0.50,2019-11-18 14:16:09.325020
71,Language Research,Provide a URL to an image of machine-printed text in Tigrinya,90,$0.06,2019-10-11 00:00:00
72,Language Research,Provide a URL to an image of machine-printed text in Uyghur,88,$0.06,2019-10-11 00:00:00
73,Hugo Cogo Moreira,Music perception test,86,$0.05,2019-11-11 14:23:09.325050
74,Clic2Buy,Sélectionner les meilleures informations pour qualifier le produit,86,$0.02,2018-05-07 00:00:00
75,Dara Javan,Find employees of a list of given companies,82,$0.04,2019-11-12 14:23:09.325068
76,Panel,"Extract summary information from 12 shopping receipts (Payment Method, Phone Number)",81,$0.05,2019-11-18 14:04:09.325073
77,Crowdsurf Support,QC Reject - Earn up to $0.20 per media minute,78,$0.20,2019-11-18 14:13:09.325078
78,Language Research,Provide a URL to an image of machine-printed text in Cambodian,77,$0.06,2019-10-11 00:00:00
79,CrowdRes,Evaluate a Story Continuation,77,$0.10,2019-11-18 12:23:09.325099
80,Shopping Receipts,Extract General Data & Items From Shopping Receipt,77,$0.01,2019-11-18 03:23:09.325104
81,Kelsey Autin,Predicting Access to Decent Work in Racial/Ethnic Minority Adults(~ 30 minutes),74,$0.50,2019-11-17 14:23:09.325110
82,Igor Grossmann,survey on political issues among Canadians(~ 8 minutes),73,$1.00,2019-11-17 19:23:09.325114
83,vainu,What kind of website is this?,72,$0.02,2019-11-18 13:23:09.325119
84,Noah Turk,Are these sentences supported?,69,$0.15,2019-11-18 13:48:09.325124
85,Yale SPCL,Take a 10-12 minute survey about public policy issues (~ 10 minutes),66,$1.00,2019-11-07 14:23:09.325129
86,f8b64e4e-b7c8-47a8-9ee3-b161727f4ca2,Judge the reputation polarity of Article Clips,62,$0.08,2019-11-18 14:02:09.325133
87,Language Research,Provide a URL to an image of machine-printed text in Georgian,60,$0.06,2019-10-11 00:00:00
88,Yale SPCL,Opinions on Behavior (~8-10 minutes)(~ 10 minutes),60,$1.00,2019-11-08 14:23:09.325151
89,Susan W Mcroy,Health Belief Annotation - Set 1,60,$0.07,2019-11-14 14:23:09.325156
90,Jerry Luo,Check all entities in Tweets. Note: There is a limit of 6 HITs,60,$0.05,2019-11-17 14:23:09.325160
91,vainu,"Find organization, personal, location and job title names in business news articles (Computer required)",59,$0.36,2019-11-18 11:23:09.325165
92,Language Research,Provide a URL to an image of machine-printed text in Tigrinya,58,$0.06,2019-10-24 00:00:00
93,Language Research,Provide a URL to an image of machine-printed text in Pashto,58,$0.06,2019-10-24 00:00:00
94,Language Research,Provide a URL to an image of machine-printed text in Tagalog,57,$0.06,2019-10-11 00:00:00
95,Phoebe,Answer a 3-min consumer survey to get 0.4$!(~ 3 minutes),56,$0.40,2019-11-18 12:23:09.325205
96,SAMlab,Study: Aspects of people (~ 15 minutes),55,$1.50,2019-11-14 14:23:09.325210
97,Gilad Feldman,"Decision-making: government policy decisions/evaluations (native English, US born & raised))(~ 8 minutes)",53,$1.00,2019-11-18 13:23:09.325217
98,Clic2Buy,Sélectionner les meilleures informations pour qualifier le produit,54,$0.04,2018-06-15 00:00:00
99,Annotation Requester,QA Review,53,$0.02,2019-11-17 14:23:09.325235
100,Baylor Study,Developing Virtue(~ 30 minutes),48,$0.50,2019-11-13 14:23:09.325243
101,MPM Lab,Judgments and Politics - Longitudinal Study (Part 2 of 2)(~ 8 minutes),48,$1.60,2019-10-28 00:00:00
102,Crowdsurf Support,Full Text Review - General Content - Earn up to $0.21 per media minute,47,$0.21,2019-11-18 11:23:09.325263
103,Language Research,Provide a URL to an image of machine-printed text in Dari,47,$0.06,2019-10-24 00:00:00
104,Annotation Requester,QA Review,47,$0.02,2019-11-17 14:23:09.325282
105,Noah Turk,Determine if a character description is offensive,46,$0.29,2019-10-25 00:00:00
106,p9r,Transcribe data,46,$0.01,2019-11-18 14:22:49.325298
107,Psychology,Religious and Spiritual Beliefs Follow-Up Survey [Year 3](~ 19 minutes),45,$2.50,2019-11-10 14:23:09.325304
108,Rodrigo Dias,Answer a short survey(~ 3 minutes),45,$0.36,2019-11-18 14:21:09.325308
109,Shannon O'Connor,Food Availability(~ 30 minutes),44,$5.00,2019-11-15 14:23:09.325313
110,LessHours - jobs where it's not crazy at work,Get the details from a job posting (<5 mins),44,$0.10,2019-11-11 14:23:09.325317
111,Matt Garner,Transcribe Product Details from Product Image,44,$0.13,2019-11-18 14:20:09.325322
112,Language Research,Provide a URL to an image of machine-printed text in Dari,43,$0.06,2019-11-13 14:23:09.325326
113,Gilad Feldman,"Decision-making: government policy decisions/evaluations (native English, US born & raised))(~ 8 minutes)",42,$1.00,2019-11-18 12:23:09.325330
114,Stanford GSB Behavioral Lab,First Impressions Study(~ 10 minutes),42,$1.20,2019-11-13 14:23:09.325335
115,Andrew Nimmich,Collect data from a Website,41,$0.10,2019-10-07 00:00:00
116,Language Research,Provide a URL to an image of machine-printed text in Cambodian,40,$0.06,2019-10-24 00:00:00
117,Phoebe,Answer a 3-min consumer survey to get 0.4$!(~ 3 minutes),41,$0.40,2019-11-18 11:23:09.325363
118,MSRRedmond Labs,Short task labeling social media comments.,40,$0.05,2019-11-14 14:23:09.325368
119,Lauren Currie,Career Hope Study (~15 minutes),38,$0.75,2019-11-18 01:23:09.325373
120,Conor O'Dea,Social encounters ***10 minute survey***(~ 10 minutes),36,$0.50,2019-11-14 14:23:09.325378
121,str11223344,Tell us what this item is - General Contents - Batch ID #30670,36,$0.07,2019-11-12 14:23:09.325382
122,Panel,"Extract summary information from 12 shopping receipts (Payment Method, Phone Number)",33,$0.05,2019-11-18 13:52:09.325386
123,Felix Kreuk,Pick the best category,36,$0.02,2019-11-15 14:23:09.325391
124,PsychResearcher256,A Survey About Judgment and Decision Making,36,$0.25,2019-11-18 11:23:09.325396
125,Noah Turk,Which Conversational Partner is Better?,35,$0.50,2019-09-03 00:00:00
126,SAMlab,Study: Aspects of people (~ 15 minutes),35,$1.50,2019-11-11 14:23:09.325413
127,Crowdsurf Support,Spanish: Transcribe up to 35 Seconds of Spanish Language Media to Text - Earn up to $0.14 per HIT!,34,$0.07,2019-11-18 11:23:09.325418
128,Ashley Batastini,Perceptions of parenting.,34,$1.00,2019-11-01 14:23:09.325423
129,Cameron Jackson,Find the URL of the post,34,$0.05,2019-10-23 00:00:00
130,Hean Tat Keh,A survey involves a writing task and social perceptions on different topics(~ 10 minutes),34,$0.90,2019-11-18 06:23:09.325440
131,Murtaza Haider,Measure length of rows of dock doors on a building (Qualification Test),33,$0.04,2019-11-12 14:23:09.325445
132,Crowdsurf Support,Transcribe up to 35 Seconds of Media to Text - Earn up to $0.17 per HIT!!,32,$0.05,2019-11-18 03:23:09.325450
133,van Anders Lab,Research study on beliefs about gender (pt. 2 of 2)(~ 5 minutes),31,$1.00,2019-10-26 00:00:00
134,Noah Turk,Chat with a fellow conversationalist!,30,$1.87,2019-10-25 00:00:00
135,Chatbot for Car Dealers,Provide difference utterance for the given utterance!,30,$0.10,2019-06-30 00:00:00
136,Chatbot for Car Dealers,Provide difference utterance for the given utterance!,30,$0.10,2019-06-30 00:00:00
137,Clic2Buy,Sélectionner les meilleures informations pour qualifier le produit,30,$0.05,2018-06-15 00:00:00
138,dataconnection,Find the (dis)similarity between two sets of sentences,30,$0.05,2019-11-18 04:23:09.325510
139,Jinchao Li,Chat and evaluate bot!,29,$0.30,2019-10-03 00:00:00
140,Noah Turk,Which Conversational Partner is Better?,29,$0.50,2019-09-03 00:00:00
141,Rajashri Srinivasan,Evaluation survey. 1 dollar and 30 cents for 10-12 minutes(~ 12 minutes),28,$1.30,2019-11-18 10:23:09.325538
142,Andres,Attitudes and Beliefs about U.S. Society(~ 15 minutes),27,$4.00,2019-11-16 14:23:09.325544
143,Language Research,Provide a URL to an image of machine-printed text in Tagalog,26,$0.06,2019-10-24 00:00:00
144,Jinchao Li,Multi-WOZ,25,$0.10,2019-08-02 00:00:00
145,Language Research,Provide a URL to an image of machine-printed text in Tibetan,25,$0.06,2019-10-24 00:00:00
146,SurveyComet,Make predictions about political events $16. (~ 120 minutes),25,$16.00,2019-10-24 00:00:00
147,Research Surveys,Survey 11-18-2019,25,$0.40,2019-11-18 11:23:09.325591
148,Kelsey Autin,Predicting Access to Decent Work in Racial/Ethnic Minority Adults(~ 30 minutes),24,$0.50,2019-11-17 14:23:09.325597
149,f8b64e4e-b7c8-47a8-9ee3-b161727f4ca2,Judge the reputation polarity of Article Clips,24,$0.08,2019-11-18 13:50:09.325602
150,Chelsey,Follow-up survey with bonus payment about attitudes(~ 10 minutes),24,$2.00,2019-11-15 14:23:09.325607
151,Daniel,Visit news article and record the contact information for the journalist,24,$0.10,2019-11-12 14:23:09.325611
152,Ziming Li,Booking movie tickets for users,23,$0.07,2019-02-15 00:00:00
153,Johanna Peetz,Personal Spending in the month of November - Survey 6(~ 5 minutes),23,$0.50,2019-11-17 20:23:09.325630
154,Alex,View and Judge Images(~ 30 minutes),23,$3.00,2019-11-16 14:23:09.325636
155,BIU NLP,Text Information Extraction,34,$0.10,2019-11-18 14:18:09.325640
156,Lily,Read a scenario and make choices(~ 2 minutes),22,$0.20,2019-11-18 14:00:09.325645
157,Johanna Peetz,Personal Spending in the month of November - Survey 6(~ 5 minutes),22,$0.50,2019-11-17 20:23:09.325650
158,Johanna Peetz,Personal Spending in the month of November - Survey 6(~ 5 minutes),22,$0.50,2019-11-17 20:23:09.325654
159,Alex,View and Judge Images(~ 30 minutes),22,$3.00,2019-11-16 14:23:09.325659
160,Rece Capture,Receipt Transcription,21,$0.03,2019-11-18 14:17:09.325666
161,Joanna Herres,Campus Emotional Well-Being Survey(~ 30 minutes),21,$2.00,2019-04-08 00:00:00
162,Ziming Li,Movie booking chat-bot: booking tickets for users,21,$0.06,2019-02-14 00:00:00
163,Ziming Li,Movie booking chat-bot: booking tickets for users,21,$0.06,2019-02-12 00:00:00
164,Luxi Chai,A Short Survey about your personality and work experience(~ 10 minutes),21,$2.00,2019-08-23 00:00:00
165,Johanna Peetz,Personal Spending in the month of November - Survey 6(~ 5 minutes),21,$0.50,2019-11-17 20:23:09.325715
166,cindy,Panorama Annotation for Cars,21,$0.10,2019-11-11 14:23:09.325721
167,Ziming Li,Booking movie tickets for users,20,$0.07,2019-02-18 00:00:00
168,Ziming Li,Booking movie tickets for users,20,$0.07,2019-02-15 00:00:00
169,Ziming Li,Movie booking chat-bot: booking tickets for users,20,$0.06,2019-02-14 00:00:00
170,Research Surveys,Survey 12-11-2019,20,$0.25,2019-11-12 14:23:09.325758
171,Research Surveys,Survey 12-11-2019,20,$0.25,2019-11-12 14:23:09.325763
172,Research Surveys,Survey 12-11-2019,20,$0.25,2019-11-12 14:23:09.325767
173,Research Surveys,Survey 12-11-2019,20,$0.25,2019-11-12 14:23:09.325771
174,DRColman,Perceptions and Attitudes Toward Persons with Autism(~ 15 minutes),20,$0.25,2019-11-18 13:52:09.325776
175,Job Spotter,Vérifiez l'affiche de recrutement ainsi que le nom du magasin figurant sur la photo.,20,$0.03,2019-11-18 07:23:09.325781
176,Noah Turk,Rate the quality of simplified sentences for non-native English Speakers,20,$1.50,2019-11-14 14:23:09.325786
177,Research Surveys,Survey 18-11-2019,20,$0.25,2019-11-18 08:23:09.325791
178,Research Surveys,Survey 18-11-2019,20,$0.25,2019-11-18 08:23:09.325795
179,Research Surveys,Survey 18-11-2019,20,$0.25,2019-11-18 08:23:09.325800
180,Research Surveys,Survey 18-11-2019,20,$0.25,2019-11-18 08:23:09.325805
181,Research Surveys,Survey 18-11-2019,20,$0.25,2019-11-18 08:23:09.325809
182,Research Surveys,Survey 18-11-2019,20,$0.25,2019-11-18 08:23:09.325814
183,Research Surveys,Survey 18-11-2019,20,$0.25,2019-11-18 08:23:09.325819
184,Research Surveys,Survey 18-11-2019,20,$0.25,2019-11-18 08:23:09.325823
185,Research Surveys,Survey 18-11-2019,20,$0.25,2019-11-18 08:23:09.325828
186,Research Surveys,Survey 18-11-2019,20,$0.25,2019-11-18 08:23:09.325833
187,Research Surveys,Survey 18-11-2019,20,$0.25,2019-11-18 08:23:09.325837
188,Research Surveys,Survey 18-11-2019,20,$0.25,2019-11-18 08:23:09.325842
189,Research Surveys,Survey 18-11-2019,20,$0.25,2019-11-18 08:23:09.325847
190,Research Surveys,Survey 18-11-2019,20,$0.25,2019-11-18 08:23:09.325851
191,Crowdsurf Support,"Spanish: Review, edit, and score the transcription of up to 35 seconds of media - Earn up to $0.12 per HIT!",19,$0.02,2019-11-18 11:23:09.325856
192,Jasmine Wang,Can machines evaluate dialogue quality?,19,$0.20,2019-04-20 00:00:00
193,Ziming Li,Movie booking chat-bot: booking tickets for users,19,$0.07,2019-02-14 00:00:00
194,Research Surveys,Survey 12-11-2019,19,$0.25,2019-11-12 14:23:09.325884
195,CopyText Inc.,"Type the text from the images, carefully. Productivity and bonuses guaranteed.",19,$0.01,2019-11-18 14:20:09.325889
196,Claire McTaggart,Fill out a survey about workplace behaviors!(~ 20 minutes),19,$3.00,2019-10-23 00:00:00
197,Researchers from Barcelona,Evaluate names for objects [batch 4] (~3.5min; $0.15 bonus possible),19,$0.50,2019-11-18 12:23:09.325905
198,zhou yu,Persuasion for Good - earn up to $2!,18,$0.30,2019-09-16 00:00:00
199,Alex,View and Judge Images(~ 30 minutes),18,$3.00,2019-11-16 14:23:09.325922
200,Research Surveys,Survey 12-11-2019,17,$0.25,2019-11-12 14:23:09.325928
201,Jinchao Li,Chat and evaluate bot!,16,$0.10,2019-10-10 00:00:00
202,zhou yu,Persuasion for Good - earn up to $2!,16,$0.30,2019-09-18 00:00:00
203,Jasmine Wang,Can machines evaluate dialogue quality?,16,$0.25,2019-04-20 00:00:00
204,Language Research,Provide a URL to an image of machine-printed text in Tibetan,16,$0.06,2019-10-11 00:00:00
205,GNGF,Find the Contact Information for the Schools,16,$0.20,2019-11-12 14:23:09.325980
206,Dan Prescott,Attitudes and Evaluation Follow-Up(~ 15 minutes),16,$1.60,2019-11-11 14:23:09.325985
207,Language Research,Provide a URL to an image of machine-printed text in Dari,15,$0.06,2019-10-11 00:00:00
208,Charlotte Moser,Attitudes Study(~ 10 minutes),15,$1.00,2019-11-17 19:23:09.326001
209,Alex,View and Judge Images(~ 30 minutes),15,$3.00,2019-11-16 14:23:09.326006
210,Tehila Kogut,Judgment and decision making part II(~ 4 minutes),15,$0.40,2019-11-07 14:23:09.326011
211,Claire McTaggart,Complete a survey about workplace behaviors and personality traits(~ 20 minutes),15,$3.00,2019-10-23 00:00:00
212,vainu,"Find organization, personal, location and job title names in business news articles (Computer required)",15,$0.32,2019-11-18 11:23:09.326027
213,Shopping Receipts,Extract Data From Shopping Receipt,15,$0.02,2019-11-18 11:23:09.326032
214,"park, ho cheul",Analyze medical noncompliance in the US(~ 13 minutes),14,$3.00,2019-11-17 22:23:09.326037
215,Erin Cooley,Social Evaluations and Processes(~ 10 minutes),14,$0.80,2019-11-17 14:23:09.326042
216,CopyText Inc.,"Type the text from the images, carefully. Productivity and bonuses guaranteed.",14,$0.01,2019-11-18 14:19:09.326046
217,bhanu prakash,Answer a survey about your your emotions after reading a short news article,14,$0.03,2019-11-18 13:58:09.326051
218,Yina Li,What is your financial choice?(~ 6 minutes),14,$0.60,2019-11-10 14:23:09.326056
219,Research Team,"Survey on later life work, bonus payment possible(~ 30 minutes)",13,$2.00,2019-11-15 14:23:09.326060
220,Diana Hernandez,Sentence classification (hotel reviews),13,$0.02,2019-11-13 14:23:09.326065
221,Jinchao Li,Chat and evaluate bot!,12,$0.25,2019-10-11 00:00:00
222,Matthew,Extremely fast and easy survey about your attitudes,12,$0.08,2019-11-18 13:23:09.326085
223,Andrew Downs,Stress Survey(~ 15 minutes),11,$0.50,2019-09-12 00:00:00
224,Cal Poly Center for Health Research,"Weight Control Survey (~3 minute screen, $4 bonus for full survey completion if eligible)(~ 3 minutes)",11,$0.01,2019-11-15 14:23:09.326105
225,Nicole Lasky,"Characteristics, Activities, Behaviors, and Experiences Survey(~ 12 minutes)",11,$0.65,2019-11-05 14:23:09.326110
226,Social Innovations Lab,Compensation HIT(~ 1 minutes),11,$1.00,2019-11-17 14:23:09.326115
227,Jon Jachimowicz,Short Survey About Potential Internship Options(~ 7 minutes),11,$1.50,2019-11-16 14:23:09.326119
228,Ting Zhang,Simple 10-minute survey. Earn $1.00!(~ 10 minutes),11,$1.00,2019-11-13 14:23:09.326123
229,Researchers from Barcelona,Evaluate names for objects [batch 4] (~3.5min; $0.15 bonus possible),11,$0.50,2019-11-18 12:23:09.326128
230,Crisis Computing,Disaster-Related Tweets Categorization,11,$0.20,2019-11-13 14:23:09.326133
231,Center for Media Engagement,Communication and Current Issues(~ 8 minutes),10,$0.97,2019-11-18 12:23:09.326137
232,Kelsey Evey,Reading Bible Verses Part 2(~ 15 minutes),10,$3.00,2019-11-17 20:23:09.326142
233,Lucas Matias Jeno,A short survey on motivation for use of digital learning tools(~ 8 minutes),10,$1.00,2019-11-15 14:23:09.326147
234,Jason J Dahling,Personality Correlates(~ 12 minutes),10,$2.00,2019-10-28 00:00:00
235,komachi_lab,(~40 minutes) Evaluation of the output sentence of grammatical error correction systems.,10,$4.00,2019-11-18 10:23:09.326164
236,Emotion Research,Watch 20 video clips and identify the emotions of the characters (up to $0.80 pay upon qualification and successful completion),10,$0.05,2019-11-12 14:23:09.326169
237,Crowdsurf Support,Timing review - Earn up to $0.18 per timed media minute,9,$0.18,2019-11-18 14:21:09.326173
238,Maas CB Lab,Photo Evaluation Study(~ 15 minutes),9,$1.10,2019-11-18 09:23:09.326178
239,str11223344,Tell us how much this item would cost to replace - Soft Goods - Batch ID #30665,9,$0.25,2019-11-12 14:23:09.326183
240,Chris Davis,Psychology of Secrets - Time 2(~ 10 minutes),9,$1.25,2019-11-18 11:23:09.326187
241,Daniel Kadvany,Answer questions about the 2020 Census,9,$0.50,2019-11-18 11:23:09.326192
242,Daniel Kadvany,Answer questions about the 2020 Census,9,$0.35,2019-11-15 14:23:09.326197
243,Michael Sargent,Sports Survey(~ 6 minutes),9,$1.00,2019-11-17 14:23:09.326201
244,Emily,Food Survey Phase 2(~ 13 minutes),9,$0.75,2019-11-11 14:23:09.326205
245,Ryan Wang,News Opinion(~ 7 minutes),9,$0.70,2019-11-18 09:23:09.326209
246,Scoutbee GmbH,Collect company info from website,9,$0.15,2019-11-18 12:23:09.326214
247,Shopping Receipts,Extract Data From Shopping Receipt,9,$0.01,2019-11-18 13:23:09.326219
248,Shopping Receipts,Extract Data From Shopping Receipt,9,$0.02,2019-11-18 11:23:09.326224
249,Noah Turk,Which Conversational Partner is Better?,8,$0.50,2019-08-06 00:00:00
250,Ziming Li,Booking movie tickets for users,8,$0.07,2019-02-20 00:00:00
251,Conor O'Dea,Scholarship study 2 *5-10 minute survey*(~ 10 minutes),8,$0.25,2019-11-16 14:23:09.326252
252,Todman Lab,Boredom Awareness and Alcohol Use Follow Up Survey 6(~ 8 minutes),8,$1.00,2019-10-24 00:00:00
253,HUGC,Moderate Customer-Supplied Vacation Rental Reviews (WARNING: This HIT may contain adult content. Worker discretion is advised),8,$0.05,2019-11-18 11:23:09.326269
254,Jinchao Li,Chat and evaluate bot!,7,$0.25,2019-10-16 00:00:00
255,Jinchao Li,Chat and evaluate bot!,7,$0.10,2019-10-03 00:00:00
256,zhou yu,Persuasion for Good - earn up to $2!,7,$0.30,2019-09-18 00:00:00
257,zhou yu,Persuasion for Good - earn up to $2!,7,$0.30,2019-09-17 00:00:00
258,Crowdsurf Support,QC Transcript - Earn up to $0.17 per media minute qc'd,7,$0.17,2019-11-18 14:10:09.326321
259,jing betty feng,Psychological factors on cultural intelligence(~ 12 minutes),7,$0.60,2019-11-07 14:23:09.326327
260,ulido,"Second part of 2-part study about Jewelry, Earn $2!(~ 4 minutes)",7,$1.80,2019-11-13 14:23:09.326332
261,Mather Lab,Find the pictures (WARNING: This HIT contains adult content. Requires Inquisit download.)(~ 30 minutes),7,$4.00,2019-11-11 14:23:09.326336
262,Behavioral Research,Study on Hiring Decisions in Organizations(~ 60 minutes),7,$10.00,2019-11-08 14:23:09.326340
