,Product_Name,Ratings,Questions_Answered,Current_Price,Savings,Category
32,Chamilia Cookie Cutter Bead Charm,[],[],[],[],"Clothing, Shoes & Jewelry › Women › Jewelry › Bracelets › Charms & Charm Bracelets › Charms › Bead"
33,[],[],[],[],[],[]
34,[],[],[],[],[],[]
35,[],[],[],[],[],[]
36,"PHOTNO Women Lace Floral Bralette Bralet Bra Bustier Crop Top Cami Unpadded Tank (M, White)",[],[],[],[],[]
37,"Parker IM Rollerball Pen, Black Lacquer Chrome Trim with Fine Point Black Ink Refill (1975540)",193 ratings,26 answered questions,$22.44,[],Office Products › Office & School Supplies › Writing & Correction Supplies › Pens & Refills › Pen Refills
38,If You Need Anything From Me. Reconsider. T-Shirt,[],[],[],[],"Clothing, Shoes & Jewelry › Novelty & More › Clothing › Novelty › Women › Tops & Tees › T-Shirts"
39,"Turtlescreen Premium Quality Replacement Screen Compatible with iPhone 6 Plus, LCD Display & Touch Screen Digitizer Full Assembly (Front camera, Ear speaker & Proximity Sensor) Repair Kit - White",49 ratings,13 answered questions,$29.99,[],Cell Phones & Accessories › Accessories › Replacement Parts
40,Knitter's Pride Fixed Circular Needle Case (Eternity),33 ratings,5 answered questions,$23.93,[],"Arts, Crafts & Sewing › Knitting & Crochet › Knitting Needles"
41,"Kanye West Autographed""late registration"" Album. Signed on cover. Beckett Authentication (BAS) COA.",[],[],$499.00,[],Collectibles & Fine Art › Entertainment › Movies & Music › Vinyl Records
42,"Campus Style Jumpsuit Pet Dress Coat Pet Suit British Plaid Pet Clothing (Girl, M)",[],[],[],[],[]
43,Plantronics RIG 4VR - VR Gaming Headset for PlayStation VR,36 ratings,7 answered questions,$48.48,$11.51 (19%),Video Games › PlayStation 4 › Accessories › Headsets
44,"iPhone 7 Plus Mirror Case for Women Girl, Q-Shox [Rose] [Love Series] Luxury Makeup Soft Flexible Case for iPhone 7 Plus",23 ratings,4 answered questions,[],[],"Cell Phones & Accessories › Cases, Holsters & Sleeves › Basic Cases"
45,JUMBO Gift Baskets Fresh Variety of Gourmet Nuts - Miniature Handmade Teddy & Flowers - Holiday Gifts Idea for Men Women and Family - 2 Lb Tray (Mini Wishes),39 ratings,[],[],[],Grocery & Gourmet Food › Candy & Chocolate › Candied & Chocolate-Covered Snacks
46,Baby Toddlers Girls Tulle Skirt Super Soft Classic 5 Layers Princess Tutu Skirts (6M-15Years),[],[],[],[],"Clothing, Shoes & Jewelry › Baby › Baby Girls › Clothing › Bottoms › Skirts, Skooters & Skorts"
47,Seeksmile Unisex Lycra Spandex Zentai Halloween Cosplay Costumes,[],23 answered questions,[],[],[]
48,Rebel Transport #293/350 (Trading Card) 2012 Topps Star Wars Galactic Files - [Base] - Blue #284,[],[],[],[],Collectibles & Fine Art › Entertainment › Trading Cards
49,[],[],[],[],[],[]
50,Billy Bryan Ghostbusters Stay Puft Marshmallow Man #13 Original Autographed 8x10 Photo,[],[],[],[],Collectibles & Fine Art › Entertainment › Photographs
51,"Ikevan Vintage Square American Flag Pillow Case Sofa Waist Throw Cushion Cover Home Decor(18"" x 18"") (Blue&Red)",17 ratings,[],$4.90,[],"Home & Kitchen › Bedding › Decorative Pillows, Inserts & Covers › Throw Pillow Covers"
52,[],[],[],[],[],[]
53,"SOL REPUBLIC Amps Air Totally Wireless Bluetooth Earbuds – Premium Sound, Sweat & Rain Resistant, 2200mAh Portable Phone Charger, Music & Siri Control, Secure Fit for Workouts, SOL-EP1190GD Rose Gold",233 ratings,72 answered questions,$97.95,[],[]
54,[],[],[],[],[],[]
55,Full Button Set Dpad RT LT RB LB ABXY navigation keys Buttons +Tools For Xbox One Elite Controller with 3.5 mm Jack (Green),[],[],[],[],Video Games › Xbox One › Accessories › Controllers › Joysticks
56,Drawstring Tote Backpack Bag Becky Lynch SmackDown Champion Nylon Home Travel Sport Storage,1 rating,[],[],[],"Clothing, Shoes & Jewelry › Luggage & Travel Gear › Gym Bags › Drawstring Bags"
57,"Grant Howard 50899 16 oz Italian Chef Oil and Vinegar Cruet, Clear",5 ratings,[],$10.00,[],Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Oil Sprayers & Dispensers › Cruets
58,[],[],[],[],[],[]
